Sat Feb 10 04:07:42 2024    profile_result.prof

         475501 function calls (461770 primitive calls) in 1.836 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 C:\Python311\Lib\unittest\case.py:344(TestCase)
      125    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:748(find_spec)
       72    0.000    0.000    0.000    0.000 C:\Python311\Lib\argparse.py:235(_add_item)
        8    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\IPython\core\alias.py:136(validate)
       54    0.000    0.000    0.000    0.000 {built-in method setFrameShadow}
      184    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\pygments\regexopt.py:72(<genexpr>)
       18    0.000    0.000    0.000    0.000 C:\Python311\Lib\argparse.py:954(__init__)
        1    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\setuptools\discovery.py:202(FlatLayoutPackageFinder)
       79    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\pygments\formatters\html.py:50(_get_ttype_class)
       55    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
       88    0.000    0.000    0.000    0.000 {built-in method setScaledContents}
        1    0.000    0.000    0.000    0.000 {built-in method documentLayout}
       28    0.000    0.000    0.000    0.000 {method 'replace' of 'datetime.datetime' objects}
        6    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\setuptools\_vendor\pyparsing\core.py:3399(__init__)
      255    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
        1    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\IPython\core\interactiveshell.py:1041(init_events)
      174    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\setuptools\_vendor\pyparsing\core.py:3803(<genexpr>)
        1    0.000    0.000    0.000    0.000 C:\Python311\Lib\unittest\signals.py:1(<module>)
        3    0.000    0.000    0.000    0.000 C:\Python311\Lib\socket.py:498(close)
       16    0.000    0.000    0.000    0.000 c:\Users\Administrator\Desktop\Structural_simulator-master\lib\Widgets\terminal.py:74(eventFilter)
        1    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\setuptools\_vendor\pyparsing\unicode.py:231(Japanese)
        8    0.000    0.000    0.000    0.000 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\jupyter_client\session.py:272(msg_header)
       45    0.000    0.000    0.000    0.000 C:\Python311\Lib\argparse.py:834(__init__)
       10    0.000    0.000    0.000    0.000 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\jupyter_client\session.py:198(utcnow)
        1    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\setuptools\_vendor\packaging\specifiers.py:227(LegacySpecifier)
        6    0.000    0.000    0.000    0.000 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\dateutil\parser\_parser.py:474(resolve_ymd)
      180    0.000    0.000    0.000    0.000 C:\Python311\Lib\enum.py:1226(value)
        1    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\setuptools\_vendor\pyparsing\core.py:3929(__init__)
        1    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\qtconsole\kill_ring.py:62(__init__)
        1    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\setuptools\_distutils\dist.py:119(<listcomp>)
       12    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\setuptools\_vendor\pyparsing\results.py:200(__setitem__)
        9    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\IPython\core\magic_arguments.py:134(add_usage)
        9    0.000    0.000    0.000    0.000 C:\Python311\Lib\asyncio\events.py:31(__init__)
        2    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\ipykernel\zmqshell.py:66(set_parent)
        1    0.000    0.000    0.000    0.000 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\zmq\sugar\socket.py:278(bind)
        3    0.000    0.000    0.000    0.000 {built-in method setFont}
        1    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\setuptools\_vendor\pyparsing\helpers.py:703(OpAssoc)
        1    0.000    0.000    0.000    0.000 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\tornado\gen.py:723(Runner)
       45    0.000    0.000    0.000    0.000 C:\Python311\Lib\textwrap.py:112(__init__)
       34    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
        4    0.000    0.000    0.000    0.000 C:\Python311\Lib\asyncio\windows_events.py:795(_poll)
        2    0.000    0.000    0.000    0.000 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\tornado\queues.py:153(__init__)
       27    0.000    0.000    0.000    0.000 C:\Python311\Lib\argparse.py:1591(_get_handler)
        1    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\IPython\core\history.py:824(_writeout_input_cache)
        8    0.000    0.000    0.000    0.000 {built-in method splitDockWidget}
        3    0.000    0.000    0.000    0.000 C:\Python311\Lib\ntpath.py:240(basename)
       12    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\IPython\core\hooks.py:125(add)
        1    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\IPython\core\magics\config.py:31(__init__)
        4    0.000    0.000    0.000    0.000 C:\Python311\Lib\logging\__init__.py:1378(_fixupParents)
        9    0.000    0.000    0.000    0.000 C:\Python311\Lib\argparse.py:994(__init__)
        3    0.000    0.000    0.000    0.000 C:\Python311\Lib\socket.py:514(family)
       92    0.000    0.000    0.000    0.000 {built-in method setVerticalScrollBarPolicy}
        1    0.000    0.000    0.000    0.000 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\tornado\queues.py:73(_QueueIterator)
       18    0.000    0.000    0.000    0.000 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\dateutil\parser\_parser.py:1141(_to_decimal)
       72    0.000    0.000    0.000    0.000 C:\Python311\Lib\argparse.py:206(__init__)
        2    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\ipykernel\kernelbase.py:290(should_handle)
        1    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\ipykernel\zmqshell.py:53(ZMQDisplayPublisher)
        1    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\setuptools\_vendor\pyparsing\actions.py:1(<module>)
        3    0.000    0.000    0.000    0.000 C:\Python311\Lib\asyncio\events.py:758(get_event_loop_policy)
        1    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\setuptools\_vendor\pyparsing\results.py:27(ParseResults)
       45    0.000    0.000    0.000    0.000 C:\Python311\Lib\argparse.py:1600(_check_conflict)
        6    0.000    0.000    0.000    0.000 C:\Python311\Lib\typing.py:1620(<genexpr>)
        6    0.000    0.000    0.000    0.000 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\dateutil\parser\_parser.py:1217(_build_naive)
        9    0.000    0.000    0.000    0.000 C:\Python311\Lib\argparse.py:977(__init__)
        2    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\ipykernel\kernelbase.py:376(post_handler_hook)
        2    0.000    0.000    0.000    0.000 C:\Python311\Lib\asyncio\windows_events.py:413(__init__)
        8    0.000    0.000    0.000    0.000 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\jupyter_client\session.py:598(msg_id)
        7    0.000    0.000    0.000    0.000 {built-in method setRootIndex}
        3    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\setuptools\monkey.py:22(_get_mro)
        4    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\IPython\core\ultratb.py:415(set_colors)
       45    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\IPython\core\magic_arguments.py:212(__call__)
        4    0.000    0.000    0.000    0.000 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\jupyter_client\adapter.py:393(adapt)
        1    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\setuptools\_vendor\pyparsing\core.py:112(__diag__)
        1    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\setuptools\_vendor\packaging\_structures.py:1(<module>)
       10    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\IPython\utils\coloransi.py:113(__init__)
        3    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\setuptools\_vendor\pyparsing\core.py:681(add_parse_action)
        1    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\setuptools\_vendor\pyparsing\core.py:693(add_condition)
       97    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\setuptools\_vendor\pyparsing\core.py:5713(<genexpr>)
        3    0.000    0.000    0.000    0.000 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\jupyter_client\session.py:146(new_id)
        1    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\ipykernel\compiler.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\psutil\_pswindows.py:283(<listcomp>)
        1    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\ipykernel\zmqshell.py:200(KernelMagics)
        1    0.000    0.000    0.000    0.000 C:\Python311\Lib\pathlib.py:902(cwd)
      164    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\setuptools\_vendor\pyparsing\core.py:1700(leave_whitespace)
        3    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\setuptools\_vendor\pyparsing\core.py:3488(__init__)
        1    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\setuptools\_vendor\pyparsing\core.py:3262(__init__)
        2    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\qtconsole\call_tip_widget.py:116(setFont)
        1    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\setuptools\_vendor\pyparsing\unicode.py:75(nums)
        4    0.000    0.000    0.000    0.000 C:\Python311\Lib\enum.py:923(_get_mixins_)
        2    0.000    0.000    0.000    0.000 C:\Python311\Lib\asyncio\windows_events.py:748(_register)
      136    0.000    0.000    0.000    0.000 {method 'values' of 'mappingproxy' objects}
        4    0.000    0.000    0.000    0.000 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\jupyter_client\session.py:994(_add_digest)
      125    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
        1    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\ipykernel\inprocess\ipkernel.py:140(_default_log)
       41    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\setuptools\_vendor\pyparsing\exceptions.py:24(__init__)
       84    0.000    0.000    0.000    0.000 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\dateutil\parser\_parser.py:203(isword)
        1    0.000    0.000    0.000    0.000 {built-in method _winapi.WaitForSingleObject}
        4    0.000    0.000    0.000    0.000 {built-in method setReadOnly}
        1    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\ipykernel\displayhook.py:46(ZMQShellDisplayHook)
        5    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\setuptools\_vendor\pyparsing\results.py:436(<listcomp>)
        2    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\IPython\core\oinspect.py:428(set_active_scheme)
        6    0.000    0.000    0.000    0.000 C:\Python311\Lib\socket.py:99(_intenum_converter)
       14    0.000    0.000    0.000    0.000 {built-in method setColor}
       10    0.000    0.000    0.000    0.000 C:\Python311\Lib\typing.py:1800(<genexpr>)
       87    0.000    0.000    0.000    0.000 {built-in method setMinimumSize}
        1    0.000    0.000    0.000    0.000 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\jupyter_client\localinterfaces.py:76(_populate_from_list)
       78    0.000    0.000    0.000    0.000 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\dateutil\parser\_parser.py:234(<genexpr>)
        1    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\ipykernel\comm\manager.py:17(CommManager)
        3    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\setuptools\_vendor\pyparsing\core.py:4037(<genexpr>)
       44    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\setuptools\_vendor\pyparsing\unicode.py:17(<genexpr>)
        2    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\pkg_resources\_vendor\pyparsing\core.py:878(try_parse)
       18    0.000    0.000    0.000    0.000 C:\Python311\Lib\argparse.py:247(end_section)
       29    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\setuptools\_vendor\pyparsing\results.py:191(__getitem__)
        2    0.000    0.000    0.000    0.000 {built-in method viewport}
        6    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\IPython\utils\ipstruct.py:88(__setattr__)
        5    0.000    0.000    0.000    0.000 C:\Python311\Lib\codecs.py:309(__init__)
        6    0.000    0.000    0.000    0.000 C:\Python311\Lib\platform.py:910(system)
        2    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\setuptools\_vendor\pyparsing\core.py:5334(copy)
        4    0.000    0.000    0.000    0.000 {method 'readline' of '_io.BufferedReader' objects}
        4    0.000    0.000    0.000    0.000 C:\Python311\Lib\inspect.py:2829(args)
        1    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\setuptools\_distutils\extension.py:1(<module>)
       18    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
        6    0.000    0.000    0.000    0.000 C:\Python311\Lib\re\_compiler.py:389(_bytes_to_codes)
        1    0.000    0.000    0.000    0.000 c:\Users\Administrator\.vscode\extensions\ms-python.python-2022.20.2\pythonFiles\lib\python\debugpy\_vendored\pydevd\_pydev_bundle\pydev_monkey.py:268(is_python)
        3    0.000    0.000    0.000    0.000 C:\Python311\Lib\contextlib.py:506(callback)
       13    0.000    0.000    0.000    0.000 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\traitlets\traitlets.py:2074(_resolve_classes)
      170    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\setuptools\_vendor\pyparsing\util.py:196(escape_re_range_char)
      120    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1565(<genexpr>)
        1    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\setuptools\_vendor\packaging\_manylinux.py:15(_ELFFileHeader)
       47    0.000    0.000    0.000    0.000 C:\Python311\Lib\typing.py:266(_check_generic)
        1    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\ipykernel\debugger.py:101(__init__)
        1    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\IPython\core\builtin_trap.py:39(__enter__)
        2    0.000    0.000    0.000    0.000 C:\Python311\Lib\asyncio\windows_events.py:738(_register_with_iocp)
        6    0.000    0.000    0.000    0.000 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\dateutil\parser\_parser.py:221(__init__)
        3    0.000    0.000    0.000    0.000 C:\Python311\Lib\socket.py:494(_real_close)
        4    0.000    0.000    0.000    0.000 C:\Python311\Lib\inspect.py:2852(kwargs)
        1    0.000    0.000    0.000    0.000 C:\Python311\Lib\unittest\mock.py:402(NonCallableMock)
        3    0.000    0.000    0.000    0.000 {method 'SetSize' of 'vtkmodules.vtkRenderingCore.vtkRenderWindowInteractor' objects}
      257    0.000    0.000    0.000    0.000 {method 'reverse' of 'list' objects}
       10    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\pkg_resources\extern\__init__.py:57(find_spec)
        4    0.000    0.000    0.000    0.000 {built-in method addDockWidget}
        2    0.000    0.000    0.000    0.000 {built-in method setHeaderLabels}
       12    0.000    0.000    0.000    0.000 C:\Python311\Lib\_weakrefset.py:85(add)
        6    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\pkg_resources\_vendor\pyparsing\results.py:200(__setitem__)
       99    0.000    0.000    0.000    0.000 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\traitlets\traitlets.py:488(class_init)
        6    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\IPython\utils\strdispatch.py:28(add_s)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:422(spec_from_loader)
      143    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\setuptools\_vendor\pyparsing\core.py:4088(<genexpr>)
        1    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\IPython\core\interactiveshell.py:761(init_logger)
        1    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\setuptools\_vendor\jaraco\text\__init__.py:37(FoldedCase)
       38    0.000    0.000    0.000    0.000 C:\Python311\Lib\json\encoder.py:105(__init__)
      109    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\setuptools\_vendor\pyparsing\core.py:3858(<genexpr>)
        1    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\setuptools\_deprecation_warning.py:1(<module>)
      3/2    0.000    0.000    0.000    0.000 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\traitlets\utils\descriptions.py:6(describe)
        1    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\setuptools\msvc.py:570(SystemInfo)
        8    0.000    0.000    0.000    0.000 C:\Python311\Lib\re\_parser.py:894(_parse_flags)
        2    0.000    0.000    0.000    0.000 {function _OverlappedFuture.cancel at 0x000001D8F291CC20}
        2    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\IPython\paths.py:92(get_ipython_package_dir)
        1    0.000    0.000    0.000    0.000 C:\Python311\Lib\contextlib.py:543(__exit__)
        9    0.000    0.000    0.000    0.000 C:\Python311\Lib\threading.py:359(notify)
        2    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\pkg_resources\_vendor\jaraco\text\__init__.py:569(join_continuation)
        1    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\IPython\core\history.py:830(_writeout_output_cache)
        1    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\qtconsole\util.py:231(import_item)
        3    0.000    0.000    0.000    0.000 C:\Python311\Lib\unittest\result.py:12(failfast)
        7    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\setuptools\_vendor\pyparsing\util.py:223(<listcomp>)
        4    0.000    0.000    0.000    0.000 {method 'SetRenderWindow' of 'vtkmodules.vtkRenderingCore.vtkRenderWindowInteractor' objects}
       30    0.000    0.000    0.000    0.000 {built-in method setMinimumWidth}
        4    0.000    0.000    0.000    0.000 C:\Python311\Lib\inspect.py:2882(apply_defaults)
       16    0.000    0.000    0.000    0.000 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\traitlets\traitlets.py:1184(default)
        1    0.000    0.000    0.000    0.000 C:\Python311\Lib\asyncio\events.py:750(_init_event_loop_policy)
        2    0.000    0.000    0.000    0.000 {built-in method setPaper}
       29    0.000    0.000    0.000    0.000 {built-in method move}
        1    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\setuptools\_vendor\pyparsing\core.py:1623(__getitem__)
        1    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\setuptools\_vendor\pyparsing\core.py:3757(And)
        3    0.000    0.000    0.000    0.000 C:\Python311\Lib\ctypes\__init__.py:386(__getattr__)
        2    0.000    0.000    0.000    0.000 {built-in method setDefaultPaper}
        1    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\IPython\core\builtin_trap.py:46(__exit__)
       27    0.000    0.000    0.000    0.000 C:\Python311\Lib\re\__init__.py:315(_subx)
       36    0.000    0.000    0.000    0.000 C:\Python311\Lib\argparse.py:199(_dedent)
        1    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\pygments\styles\monokai.py:17(MonokaiStyle)
        3    0.000    0.000    0.000    0.000 {function socket.close at 0x000001D8BD334B80}
        2    0.000    0.000    0.000    0.000 C:\Python311\Lib\enum.py:987(_find_new_)
        3    0.000    0.000    0.000    0.000 {pos}
       12    0.000    0.000    0.000    0.000 {method 'hexdigest' of '_hashlib.HMAC' objects}
        1    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\setuptools\logging.py:1(<module>)
        3    0.000    0.000    0.000    0.000 C:\Python311\Lib\functools.py:841(_is_union_type)
      168    0.000    0.000    0.000    0.000 C:\Python311\Lib\inspect.py:2733(default)
        9    0.000    0.000    0.000    0.000 C:\Python311\Lib\argparse.py:255(add_usage)
        1    0.000    0.000    0.000    0.000 C:\Python311\Lib\enum.py:1420(<listcomp>)
        2    0.000    0.000    0.000    0.000 {built-in method addMenu}
        1    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\setuptools\_vendor\packaging\version.py:60(_BaseVersion)
      147    0.000    0.000    0.000    0.000 C:\Python311\Lib\inspect.py:3024(parameters)
        2    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\pkg_resources\_vendor\pyparsing\results.py:436(<listcomp>)
       16    0.000    0.000    0.000    0.000 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\traitlets\traitlets.py:1264(class_init)
        2    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\setuptools\_vendor\pyparsing\core.py:3297(_generateDefaultName)
        6    0.000    0.000    0.000    0.000 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\dateutil\parser\_parser.py:380(validate)
       12    0.000    0.000    0.000    0.000 {method 'copy' of '_hashlib.HMAC' objects}
       17    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\setuptools\_vendor\pyparsing\core.py:2345(parseImpl)
        2    0.000    0.000    0.000    0.000 C:\Python311\Lib\ntpath.py:247(dirname)
        6    0.000    0.000    0.000    0.000 C:\Python311\Lib\threading.py:1185(is_alive)
       79    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\setuptools\_vendor\pyparsing\core.py:3627(recurse)
        4    0.000    0.000    0.000    0.000 C:\Python311\Lib\logging\__init__.py:1447(__init__)
        6    0.000    0.000    0.000    0.000 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\dateutil\parser\_parser.py:1177(_build_tzaware)
        2    0.000    0.000    0.000    0.000 {method 'SetWindowInfo' of 'vtkmodules.vtkRenderingOpenGL2.vtkWin32OpenGLRenderWindow' objects}
        4    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\setuptools\_vendor\pyparsing\core.py:2961(re)
        2    0.000    0.000    0.000    0.000 {built-in method _winapi.CreatePipe}
        1    0.000    0.000    0.000    0.000 C:\Python311\Lib\uuid.py:716(uuid4)
        1    0.000    0.000    0.000    0.000 c:\Users\Administrator\Desktop\Structural_simulator-master\lib\Widgets\minecraftBlockListWidgets.py:144(update)
      122    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:413(has_location)
       12    0.000    0.000    0.000    0.000 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\traitlets\traitlets.py:2597(<genexpr>)
        1    0.000    0.000    0.000    0.000 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\tornado\ioloop.py:766(split_fd)
        1    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\setuptools\_distutils\util.py:22(get_host_platform)
       71    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\setuptools\_vendor\pyparsing\core.py:4370(recurse)
      131    0.000    0.000    0.000    0.000 C:\Python311\Lib\inspect.py:3028(return_annotation)
        1    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\setuptools\windows_support.py:1(<module>)
        3    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\setuptools\_vendor\pyparsing\core.py:687(<listcomp>)
        3    0.000    0.000    0.000    0.000 C:\Python311\Lib\_collections_abc.py:933(clear)
        4    0.000    0.000    0.000    0.000 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\traitlets\traitlets.py:1996(__init__)
       30    0.000    0.000    0.000    0.000 C:\Python311\Lib\functools.py:65(wraps)
       34    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
        1    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\setuptools\_distutils\_msvccompiler.py:192(MSVCCompiler)
        1    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\setuptools\_vendor\pyparsing\unicode.py:31(unicode_set)
        6    0.000    0.000    0.000    0.000 C:\Python311\Lib\enum.py:753(__getattr__)
       18    0.000    0.000    0.000    0.000 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\dateutil\parser\_parser.py:336(hms)
        3    0.000    0.000    0.000    0.000 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\zmq\sugar\attrsettr.py:65(_get_attr_opt)
       91    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       37    0.000    0.000    0.000    0.000 {method 'mro' of 'type' objects}
        6    0.000    0.000    0.000    0.000 C:\Python311\Lib\typing.py:1496(__mro_entries__)
        5    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\setuptools\_vendor\pyparsing\core.py:2854(parseImpl)
        9    0.000    0.000    0.000    0.000 C:\Python311\Lib\traceback.py:389(extended_frame_gen)
      115    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1122(get_filename)
        1    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\setuptools\_vendor\pyparsing\core.py:322(condition_as_parse_action)
        1    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\setuptools\_vendor\jaraco\context.py:183(passes)
       42    0.000    0.000    0.000    0.000 {built-in method setIconSize}
       50    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\setuptools\_vendor\pyparsing\core.py:673(<genexpr>)
        1    0.000    0.000    0.000    0.000 C:\Python311\Lib\unittest\mock.py:1960(<setcomp>)
       26    0.000    0.000    0.000    0.000 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\traitlets\traitlets.py:2527(validate)
       21    0.000    0.000    0.000    0.000 C:\Python311\Lib\enum.py:47(_is_dunder)
        2    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\setuptools\config\__init__.py:17(_deprecation_notice)
        2    0.000    0.000    0.000    0.000 {method 'AddRenderer' of 'vtkmodules.vtkRenderingCore.vtkRenderWindow' objects}
        1    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\setuptools\_vendor\more_itertools\recipes.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Python311\Lib\functools.py:818(dispatch)
        1    0.000    0.000    0.000    0.000 C:\Python311\Lib\_strptime.py:26(_getlang)
       19    0.000    0.000    0.000    0.000 {built-in method setPopupMode}
        2    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\setuptools\_vendor\pyparsing\core.py:3379(_generateDefaultName)
       29    0.000    0.000    0.000    0.000 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\traitlets\traitlets.py:232(is_trait)
        3    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\qtconsole\inprocess.py:27(start)
        1    0.000    0.000    0.000    0.000 {built-in method _ctypes.pointer}
      210    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
       50    0.000    0.000    0.000    0.000 {built-in method builtins.vars}
        1    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\ipykernel\zmqshell.py:459(_default_exiter)
        1    0.000    0.000    0.000    0.000 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\traitlets\traitlets.py:2153(info)
        3    0.000    0.000    0.000    0.000 C:\Python311\Lib\ast.py:74(_convert_signed_num)
       12    0.000    0.000    0.000    0.000 C:\Python311\Lib\site-packages\IPython\utils\ipstruct.py:41(__init__)
       17    0.000    0.000    0.000    0.000 C:\Python311\Lib\enum.py:78(_is_private)
        9    0.000    0.000    0.000    0.000 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\traitlets\traitlets.py:3392(class_init)
        6    0.000    0.000    0.000    0.000 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\dateutil\parser\_parser.py:62(__init__)
