Sat Feb 10 04:07:42 2024    profile_result.prof

         475501 function calls (461770 primitive calls) in 1.836 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.009    0.003 C:\Python311\Lib\site-packages\setuptools\_vendor\pyparsing\core.py:1076(parse_string)
        1    0.000    0.000    0.009    0.009 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\psutil\__init__.py:2003(disk_partitions)
        1    0.000    0.000    0.009    0.009 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\psutil\_pswindows.py:280(disk_partitions)
        1    0.000    0.000    0.009    0.009 c:\Users\Administrator\Desktop\Structural_simulator-master\lib\Widgets\terminal.py:42(start_cmd)
        2    0.000    0.000    0.009    0.004 C:\Python311\Lib\site-packages\ipykernel\kernelbase.py:303(dispatch_shell)
        1    0.009    0.009    0.009    0.009 {built-in method psutil_windows.disk_partitions}
        1    0.009    0.009    0.009    0.009 {built-in method start}
   200/55    0.002    0.000    0.009    0.000 C:\Users\Administrator\AppData\Roaming\Python\Python311\site-packages\traitlets\config\configurable.py:131(_find_my_config)
        1    0.000    0.000    0.009    0.009 C:\Python311\Lib\subprocess.py:805(__init__)
        8    0.000    0.000    0.008    0.001 C:\Python311\Lib\site-packages\pygments\lexer.py:414(get)
        8    0.000    0.000    0.008    0.001 C:\Python311\Lib\site-packages\pygments\regexopt.py:82(regex_opt)
    668/8    0.002    0.000    0.008    0.001 C:\Python311\Lib\site-packages\pygments\regexopt.py:26(regex_opt_inner)
        1    0.000    0.000    0.008    0.008 C:\Python311\Lib\subprocess.py:1405(_execute_child)
       12    0.006    0.000    0.008    0.001 c:\Users\Administrator\Desktop\Structural_simulator-master\lib\Widgets\dockWidget.py:119(MakeViewFunction)
        1    0.001    0.001    0.008    0.008 c:\Users\Administrator\Desktop\Structural_simulator-master\lib\functions\Simulator.py:787(selectionchange)
    36263    0.005    0.000    0.008    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.008    0.008 c:\Users\Administrator\.vscode\extensions\ms-python.python-2022.20.2\pythonFiles\lib\python\debugpy\_vendored\pydevd\_pydev_bundle\pydev_monkey.py:891(new_CreateProcess)
        1    0.007    0.007    0.008    0.008 c:\Users\Administrator\Desktop\Structural_simulator-master\lib\functions\Viewer.py:815(ChooseColorInit)
   756/24    0.003    0.000    0.008    0.000 C:\Python311\Lib\site-packages\pygments\regexopt.py:77(<genexpr>)
     2639    0.005    0.000    0.008    0.000 c:\Users\Administrator\Desktop\Structural_simulator-master\lib\Widgets\tooltip.py:293(eventFilter)
        1    0.000    0.000    0.008    0.008 C:\Python311\Lib\site-packages\setuptools\config\pyprojecttoml.py:1(<module>)
      115    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1127(get_data)
        1    0.000    0.000    0.008    0.008 C:\Python311\Lib\site-packages\setuptools\_vendor\pyparsing\common.py:1(<module>)
        1    0.000    0.000    0.008    0.008 C:\Python311\Lib\site-packages\setuptools\_vendor\packaging\specifiers.py:1(<module>)
        1    0.000    0.000    0.008    0.008 C:\Python311\Lib\site-packages\ipykernel\comm\__init__.py:1(<module>)
        1    0.000    0.000    0.007    0.007 C:\Python311\Lib\site-packages\setuptools\_vendor\pyparsing\common.py:8(pyparsing_common)
        1    0.000    0.000    0.007    0.007 C:\Python311\Lib\site-packages\ipykernel\inprocess\client.py:142(kernel_info)
        6    0.000    0.000    0.007    0.001 C:\Python311\Lib\threading.py:938(start)
      115    0.001    0.000    0.007    0.000 C:\Python311\Lib\re\_compiler.py:509(_compile_info)
        1    0.006    0.006    0.007    0.007 c:\Users\Administrator\Desktop\Structural_simulator-master\lib\functions\Simulator.py:703(ChooseColorInit)
      895    0.005    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
        1    0.007    0.007    0.007    0.007 {built-in method _winapi.CreateProcess}
        1    0.000    0.000    0.007    0.007 C:\Python311\Lib\unittest\__init__.py:1(<module>)
        1    0.000    0.000    0.007    0.007 C:\Python311\Lib\site-packages\ipykernel\comm\manager.py:1(<module>)
        6    0.000    0.000    0.007    0.001 C:\Python311\Lib\threading.py:604(wait)
    27364    0.007    0.000    0.007    0.000 {function ToolTipFilter.eventFilter at 0x000001D8EFD22F20}
        9    0.000    0.000    0.007    0.001 C:\Python311\Lib\argparse.py:2553(format_help)
        6    0.000    0.000    0.007    0.001 C:\Python311\Lib\threading.py:288(wait)
        1    0.000    0.000    0.007    0.007 C:\Python311\Lib\site-packages\IPython\core\interactiveshell.py:1882(init_history)
        1    0.000    0.000    0.007    0.007 C:\Python311\Lib\site-packages\IPython\core\history.py:539(__init__)
       38    0.006    0.000    0.006    0.000 {built-in method builtins.print}
        1    0.000    0.000    0.006    0.006 C:\Python311\Lib\site-packages\setuptools\config\_apply_pyprojecttoml.py:1(<module>)
     45/6    0.001    0.000    0.006    0.001 C:\Python311\Lib\site-packages\setuptools\_vendor\pyparsing\core.py:3816(streamline)
        1    0.000    0.000    0.006    0.006 C:\Python311\Lib\site-packages\ipykernel\comm\comm.py:1(<module>)
     89/5    0.001    0.000    0.006    0.001 C:\Python311\Lib\site-packages\setuptools\_vendor\pyparsing\core.py:3675(streamline)
